Parcela;Obs_parcela;N.;Nome_comum;Familia;;DAP;Altura;Altura_medida_estimada;Morta;Tipo;Ano;;
TLO_031a036;NA;696;CASTANHA DE PACA;Moraceae;;10,8;11,2;EST;NA;NA;2015;;
TLO_031a036;NA;697;MACUCU D'AGUA;Lecythidaceae;;14,7;14,0;EST;NA;NA;2015;;
TLO_031a036;NA;698;GITO BRANCO;NA;;13,9;13,4;EST;NA;NA;2015;;
TLO_031a036;NA;699;BREU VERMELHO;NA;;11,4;11,7;EST;NA;NA;2015;;
TLO_031a036;NA;700;MUIRAPIRANGA FG;Chrysobalanaceae;;22,2;18,4;EST;NA;NA;2015;;
TLO_031a036;NA;701;LOURO FOFO;Fabaceae;;15,2;14,3;EST;NA;NA;2015;;
TLO_031a036;NA;691G;SERINGA;NA;;10,6;11,1;EST;NA;NA;2015;;
TLO_031a036;NA;702;URUCURANA CASCA TORRADA;Chrysobalanaceae;;62,5;32,5;EST;NA;NA;2015;;
TLO_031a036;NA;703;ABIURANA BACURI;Elaeocarpaceae;;16,0;14,8;EST;NA;NA;2015;;
TLO_031a036;NA;704;INGARANA;Fabaceae;;12,1;12,2;EST;NA;NA;2015;;
TLO_031a036;NA;705;MACUCU PELUDO;Lecythidaceae;;15,8;14,7;EST;NA;NA;2015;;
TLO_031a036;NA;705D;PAU SANDRA;Lauraceae;;10,4;10,9;EST;NA;NA;2015;;
TLO_031a036;NA;706;ARACA BRAVO;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_031a036;NA;707;GITO BRANCO;Elaeocarpaceae;;18,0;16,0;EST;NA;NA;2015;;
TLO_031a036;NA;708;TAPURA LISA;Burseraceae;;21,8;18,2;EST;NA;NA;2015;;
TLO_031a036;NA;709;ABIURANA BACURI;Euphorbiaceae;;26,7;20,6;EST;NA;NA;2015;;
TLO_031a036;NA;709B;TAPURA LISA;Lecythidaceae;;10,9;11,3;EST;NA;NA;2015;;
TLO_031a036;NA;709H;TACHI PRETO;Euphorbiaceae;;11,5;11,7;EST;NA;NA;2015;;
TLO_031a036;NA;710;TAMAQUAR�;Fabaceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_031a036;NA;711;GITO BRANCO;Sapotaceae;;24,0;19,3;EST;NA;NA;2015;;
TLO_031a036;NA;712;INGARANA;Anacardiaceae;;23,0;18,8;EST;NA;NA;2015;;
TLO_031a036;NA;713;MACUCU;morta;;37,0;25,0;EST;NA;NA;2015;;
TLO_031a036;NA;714;ABIURANA;Moraceae;;37,0;25,0;EST;NA;NA;2015;;
TLO_031a036;NA;715;MUIRAPIRANGA FG;Myristicaceae;;31,0;22,6;EST;NA;NA;2015;;
TLO_031a036;NA;716;SERINGA VERMELHA;NA;;30,2;22,2;EST;NA;NA;2015;;
TLO_031a036;NA;717;UXIRANA;Moraceae;;24,7;19,7;EST;NA;NA;2015;;
TLO_031a036;NA;718;MOELA DE MUTUM;Lecythidaceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_031a036;NA;719;MUIRAPIRANGA FG;Fabaceae;;21,2;17,8;EST;NA;NA;2015;;
TLO_031a036;NA;720;UCUUBA;Moraceae;;15,0;14,1;EST;NA;NA;2015;;
TLO_031a036;NA;721;TACHI;Euphorbiaceae;;NA;NA;EST;M;NA;2015;;
TLO_031a036;NA;722;ABIURANA BACURI;Chrysobalanaceae;;32,4;23,2;EST;NA;NA;2015;;
TLO_031a036;NA;723;CASTANHA DE PACA;Moraceae;;36,3;24,7;EST;NA;NA;2015;;
TLO_031a036;NA;724;MACUCU CHIADOR;Lecythidaceae;;57,8;31,4;EST;NA;NA;2015;;
TLO_031a036;NA;725;INGA VERMELHA;Lauraceae;;15,1;14,2;EST;NA;NA;2015;;
TLO_031a036;NA;726;TAQUARI BRANCO;Sapotaceae;;15,0;14,1;EST;NA;NA;2015;;
TLO_031a036;NA;727;TAQUARI BRANCO;Humiriaceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_031a036;NA;728;CARDEIRO;Anacardiaceae;;25,1;19,8;EST;NA;NA;2015;;
TLO_031a036;NA;728H;TAQUARI VERMELHO;Burseraceae;;10,0;10,6;EST;NA;NA;2015;;
TLO_031a036;NA;729;MACUCU CHIADOR;Burseraceae;;38,6;25,6;EST;NA;NA;2015;;
TLO_031a036;NA;730;MUNGUBA;Lecythidaceae;;34,1;23,8;EST;NA;NA;2015;;
TLO_031a036;NA;730D;MUIRAPIRANGA FG;Burseraceae;;12,5;12,5;EST;NA;NA;2015;;
TLO_031a036;NA;731;SERINGARANA;Sapotaceae;;22,3;18,4;EST;NA;NA;2015;;
TLO_031a036;NA;732;TAQUARI BRANCO;Moraceae;;15,6;14,5;EST;NA;NA;2015;;
TLO_031a036;NA;732D;BREU BRANCO;Moraceae;;12,2;12,2;EST;NA;NA;2015;;
TLO_031a036;NA;733;GITO BRANCO;Annonaceae;;14,6;13,9;EST;NA;NA;2015;;
TLO_031a036;NA;734;FAVEIRA;Fabaceae;;14,4;13,8;EST;NA;NA;2015;;
TLO_031a036;NA;735;TAQUARI BRANCO;Euphorbiaceae;;NA;NA;EST;M;NA;2015;;
TLO_031a036;NA;736;MUNGUBA;Fabaceae;;37,4;25,1;EST;NA;NA;2015;;
TLO_031a036;NA;737;TAUARI;Moraceae;;25,6;20,1;EST;NA;NA;2015;;
TLO_031a036;NA;738;GITO BRANCO;Burseraceae;;27,9;21,2;EST;NA;NA;2015;;
TLO_031a036;NA;738D;UCUUBA BRANCA;Elaeocarpaceae;;14,1;13,6;EST;NA;NA;2015;;
TLO_031a036;NA;739;UCUUBA;Sapotaceae;;35,0;24,2;EST;NA;NA;2015;;
TLO_031a036;NA;740;MUIRAPIRANGA FG;Clusiaceae;;15,3;14,3;EST;NA;NA;2015;;
TLO_031a036;NA;741;SERINGARANA;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_031a036;NA;742;PIQUIARANA;Sapotaceae;;27,7;21,1;EST;NA;NA;2015;;
TLO_031a036;NA;743;ANANI;NA;;NA;NA;EST;M;NA;2015;;
TLO_031a036;NA;744;MUIRAPIRANGA FM;NA;;17,0;15,4;EST;NA;NA;2015;;
TLO_031a036;NA;745;MUIRATINGA;Lecythidaceae;;13,5;13,2;EST;NA;NA;2015;;
TLO_031a036;NA;746;GITO BRANCO;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_031a036;NA;747;UCUUBA;Chrysobalanaceae;;14,7;14,0;EST;NA;NA;2015;;
TLO_031a036;NA;748;PAU SARACURA;NA;;17,4;15,7;EST;NA;NA;2015;;
TLO_031a036;NA;749;PAU SARACURA;Lauraceae;;35,4;24,4;EST;NA;NA;2015;;
TLO_031a036;NA;750;TANIMBUCA;Fabaceae;;32,9;23,4;EST;NA;NA;2015;;
TLO_031a036;NA;751;PAU SARACURA;Euphorbiaceae;;45,5;27,9;EST;NA;NA;2015;;
TLO_031a036;NA;752;UCUUBA PUNA;Fabaceae;;30,3;22,3;EST;NA;NA;2015;;
TLO_031a036;NA;753;MATAMATA AMARELO;Burseraceae;;16,5;15,1;EST;NA;NA;2015;;
TLO_031a036;NA;753A;MATAMATA AMARELO;Apocynaceae;;21,8;18,2;EST;NA;NA;2015;;
TLO_031a036;NA;754;PAJURAZINHO;Myristicaceae;;17,3;15,6;EST;NA;NA;2015;;
TLO_031a036;NA;755;PAJURAZINHO;Burseraceae;;45,2;27,8;EST;NA;NA;2015;;
TLO_031a036;NA;755A;TAPURA LISA;Fabaceae;;11,3;11,6;EST;NA;NA;2015;;
TLO_031a036;NA;756;GITO BRANCO;Lauraceae;;26,3;20,4;EST;NA;NA;2015;;
TLO_031a036;NA;757;INGARANA;Sterculiaceae;;14,1;13,6;EST;NA;NA;2015;;
TLO_031a036;NA;758;MUIRAPIRANGA FG;Euphorbiaceae;;12,4;12,4;EST;NA;NA;2015;;
TLO_031a036;NA;759;JARAI;Fabaceae;;20,4;17,4;EST;NA;NA;2015;;
TLO_031a036;NA;760;PAU SARACURA;Sapotaceae;;32,1;23,0;EST;NA;NA;2015;;
TLO_031a036;NA;761;UXI COCO;Burseraceae;;12,7;12,6;EST;NA;NA;2015;;
TLO_031a036;NA;762;ABIURANA BACURI;Moraceae;;18,7;16,4;EST;NA;NA;2015;;
TLO_031a036;NA;749D;INGA COPAIBA;Burseraceae;;12,4;12,4;EST;NA;NA;2015;;
TLO_037a042;NA;764;SERINGARANA;Burseraceae;;14,1;13,6;EST;NA;NA;2015;;
TLO_037a042;NA;764H;MACUCU CHIADOR;Burseraceae;;11,0;11,4;EST;NA;NA;2015;;
TLO_037a042;NA;765;LOURO FOFO;Fabaceae;;16,0;14,8;EST;NA;NA;2015;;
TLO_037a042;NA;766;MUIRAPIRANGA FG;Sapotaceae;;36,4;24,7;EST;NA;NA;2015;;
TLO_037a042;NA;766A;MUCURAO;Fabaceae;;11,1;11,5;EST;NA;NA;2015;;
TLO_037a042;NA;767;MACUCU;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;768;MACROLOBIUM ARENARIUM;Chrysobalanaceae;;13,0;12,8;EST;NA;NA;2015;;
TLO_037a042;NA;769;ABIURANA;Chrysobalanaceae;;13,8;13,4;EST;NA;NA;2015;;
TLO_037a042;NA;770;MACUCU CICA;Sapotaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;770D;CANELINHA;Fabaceae;;13,3;13,0;EST;NA;NA;2015;;
TLO_037a042;NA;771;MACACAUBA;Burseraceae;;72,0;34,6;EST;NA;NA;2015;;
TLO_037a042;NA;771E;CARAIPERANA;Lecythidaceae;;11,3;11,6;EST;NA;NA;2015;;
TLO_037a042;NA;772;SERINGA VERMELHA;Moraceae;;32,3;23,1;EST;NA;NA;2015;;
TLO_037a042;NA;773;MUCURAO;Moraceae;;17,0;15,4;EST;NA;NA;2015;;
TLO_037a042;NA;774;CARAIPE;Chrysobalanaceae;;33,3;23,5;EST;NA;NA;2015;;
TLO_037a042;NA;774A;ABIURANA BACURI;Meliaceae;;12,4;12,4;EST;NA;NA;2015;;
TLO_037a042;NA;775;MACUCU CICA;NA;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;776;MARUPA;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;776A;ABIURANA BACURI;Fabaceae;;13,1;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;777;CARAIPE;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;749J;UCUUBA BRANCA;NA;;NA;NA;EST;NA;NA;2015;;
TLO_037a042;NA;778;INGARANA;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;779;INGA VERMELHA;Lauraceae;;14,8;14,0;EST;NA;NA;2015;;
TLO_037a042;NA;780;PIQUIARANA;Euphorbiaceae;;26,6;20,6;EST;NA;NA;2015;;
TLO_037a042;NA;780H;TACHI VERMELHO;Sapotaceae;;11,2;11,5;EST;NA;NA;2015;;
TLO_037a042;NA;781;MUIRAPIRANGA FM;Apocynaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;782;SERINGA VERMELHA;Burseraceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;783;QUARUBA;Fabaceae;;53,4;30,2;EST;NA;NA;2015;;
TLO_037a042;NA;784;AMAPA ROXO;Sapotaceae;;25,6;20,1;EST;NA;NA;2015;;
TLO_037a042;NA;785;ABIURANA ABIU;Sterculiaceae;;25,0;19,8;EST;NA;NA;2015;;
TLO_037a042;NA;786;PAJURAZINHO;Moraceae;;11,6;11,8;EST;NA;NA;2015;;
TLO_037a042;NA;787;UCUUBA PRETA;Sapotaceae;;19,2;16,7;EST;NA;NA;2015;;
TLO_037a042;NA;788;MUIRATINGA;Chrysobalanaceae;;11,0;11,4;EST;NA;NA;2015;;
TLO_037a042;NA;789;MATAMATA AMARELO;Fabaceae;;31,0;22,6;EST;NA;NA;2015;;
TLO_037a042;NA;790;UXIRANA;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;791;BREU VERMELHO;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;792;ABIURANA;Fabaceae;;16,3;15,0;EST;NA;NA;2015;;
TLO_037a042;NA;793;JUTAI CICA;Moraceae;;26,7;20,6;EST;NA;NA;2015;;
TLO_037a042;NA;794;MACUCU CHIADOR;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;794F;CHICLETE BRAVO;Fabaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;795;LEITEIRA;Fabaceae;;41,6;26,6;EST;NA;NA;2015;;
TLO_037a042;NA;796;NA;Fabaceae;;12,6;12,5;EST;NA;NA;2015;;
TLO_037a042;NA;808;CASTANHA VERMELHA;Burseraceae;;21,0;17,7;EST;NA;NA;2015;;
TLO_037a042;NA;810;INHARE;Fabaceae;;14,8;14,0;EST;NA;NA;2015;;
TLO_037a042;NA;811;UCUUBA PUNA;Lauraceae;;20,2;17,3;EST;NA;NA;2015;;
TLO_037a042;NA;797;ARACA BRAVO;Quiinaceae;;12,0;12,1;EST;NA;NA;2015;;
TLO_037a042;NA;798;P� DE BURRO;Olacaceae;;13,9;13,4;EST;NA;NA;2015;;
TLO_037a042;NA;799;MUIRAPIRANGA FM;Fabaceae;;36,8;24,9;EST;NA;NA;2015;;
TLO_037a042;NA;800;MATAMATA AMARELO;Burseraceae;;35,6;24,4;EST;NA;NA;2015;;
TLO_037a042;NA;801;LOURO PRETO;Fabaceae;;50,5;29,4;EST;NA;NA;2015;;
TLO_037a042;NA;802;MUIRAPIRANGA FM;Fabaceae;;30,1;22,2;EST;NA;NA;2015;;
TLO_037a042;NA;802B;URUCURANA;Fabaceae;;10,7;11,2;EST;NA;NA;2015;;
TLO_037a042;NA;803;BREU VERMELHO;Sapotaceae;;15,5;14,5;EST;NA;NA;2015;;
TLO_037a042;NA;804;SERINGA VERMELHA;Moraceae;;20,4;17,4;EST;NA;NA;2015;;
TLO_037a042;NA;805;MATAMATA AMARELO;Lecythidaceae;;24,5;19,6;EST;NA;NA;2015;;
TLO_037a042;NA;806;SERINGARANA;Euphorbiaceae;;22,2;18,4;EST;NA;NA;2015;;
TLO_037a042;NA;807;SERINGARANA;Euphorbiaceae;;14,8;14,0;EST;NA;NA;2015;;
TLO_037a042;NA;807A;JARAI;Nyctaginaceae;;13,2;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;809;BREU VERMELHO;Chrysobalanaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;812;TAPURA;Bombacaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;813;MUIRATINGA;Fabaceae;;12,7;12,6;EST;NA;NA;2015;;
TLO_037a042;NA;814;MUCURAO;Lecythidaceae;;16,3;15,0;EST;NA;NA;2015;;
TLO_037a042;NA;815;MUIRAPIRANGA FM;Lecythidaceae;;31,2;22,6;EST;NA;NA;2015;;
TLO_037a042;NA;815A;INHARE;Sapotaceae;;13,2;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;816;MUCURAO;Nyctaginaceae;;14,5;13,8;EST;NA;NA;2015;;
TLO_037a042;NA;817;UCUUBA PRETA;Lecythidaceae;;14,4;13,8;EST;NA;NA;2015;;
TLO_037a042;NA;818;MATAMATA AMARELO;Sapotaceae;;31,7;22,9;EST;NA;NA;2015;;
TLO_037a042;NA;819;PIAOZINHO;Fabaceae;;29,7;22,0;EST;NA;NA;2015;;
TLO_037a042;NA;820;MACUCU FOFO;Lecythidaceae;;25,3;19,9;EST;NA;NA;2015;;
TLO_037a042;NA;821;MUIRATINGA;Lecythidaceae;;14,0;13,5;EST;NA;NA;2015;;
TLO_037a042;NA;822;MATAMATA AMARELO;Fabaceae;;17,5;15,7;EST;NA;NA;2015;;
TLO_037a042;NA;823;LOURO PRETO;Apocynaceae;;26,0;20,3;EST;NA;NA;2015;;
TLO_037a042;NA;824;ABIURANA;Burseraceae;;14,8;14,0;EST;NA;NA;2015;;
TLO_037a042;NA;824H;ABIURANA;NA;;10,3;10,9;EST;NA;NA;2015;;
TLO_037a042;NA;825;PIMENTA DE NAMBU;NA;;13,2;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;826;MUIRACATIARA;Lecythidaceae;;18,9;16,5;EST;NA;NA;2015;;
TLO_037a042;NA;827;BREU VERMELHO;Sapotaceae;;20,7;17,6;EST;NA;NA;2015;;
TLO_037a042;NA;827A;BREU VERMELHO;Vochysiaceae;;11,2;11,5;EST;NA;NA;2015;;
TLO_037a042;NA;828;RIPEIRO VERMELHO;Icacinaceae;;38,3;25,5;EST;NA;NA;2015;;
TLO_037a042;NA;829;BREU VERMELHO;Lauraceae;;13,1;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;830;ABIURANA CUTITE;Bombacaceae;;24,3;19,5;EST;NA;NA;2015;;
TLO_037a042;NA;831;FALSA RAINHA;Burseraceae;;14,7;14,0;EST;NA;NA;2015;;
TLO_037a042;NA;831A;MUCURAO ;Myrtaceae;;13,3;13,0;EST;NA;NA;2015;;
TLO_037a042;NA;831D;ENVIRA FOFA;Sapotaceae;;13,1;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;832;MUIRAPIRANGA FM;Lecythidaceae;;26,5;20,5;EST;NA;NA;2015;;
TLO_037a042;NA;833;TAQUARI VERMELHO;Lecythidaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;834;MUIRAPIRANGA FM;Burseraceae;;36,0;24,6;EST;NA;NA;2015;;
TLO_037a042;NA;835;CHICLETE BRAVO;Myristicaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;836;PAU RAINHA;Lecythidaceae;;19,3;16,8;EST;NA;NA;2015;;
TLO_037a042;NA;837;CARAIPE;Fabaceae;;42,1;26,8;EST;NA;NA;2015;;
TLO_037a042;NA;838;INHARE;Violaceae;;11,5;11,7;EST;NA;NA;2015;;
TLO_037a042;NA;838A;BREU;Moraceae;;13,1;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;839;URUCURANA;Chrysobalanaceae;;15,5;14,5;EST;NA;NA;2015;;
TLO_037a042;NA;840;ABIURANA;Lecythidaceae;;29,3;21,8;EST;NA;NA;2015;;
TLO_037a042;NA;840F;SAPATEIRA;Flacourtiaceae;;11,3;11,6;EST;NA;NA;2015;;
TLO_037a042;NA;841;BREU VERMELHO;Moraceae;;18,5;16,3;EST;NA;NA;2015;;
TLO_037a042;NA;842;ABIURANA CUTITE;Lecythidaceae;;23,9;19,2;EST;NA;NA;2015;;
TLO_037a042;NA;843;TACHI PRETO;Chrysobalanaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;844;MUIRAXIMBE;Sapotaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;845;CASTANHA VERMELHA;Fabaceae;;32,5;23,2;EST;NA;NA;2015;;
TLO_037a042;NA;846;INGA COPAIBA;Lecythidaceae;;39,9;26,0;EST;NA;NA;2015;;
TLO_037a042;NA;847;PAJURAZINHO;Salicaceae;;23,6;19,1;EST;NA;NA;2015;;
TLO_037a042;NA;847C;LOURO PRETO;Lecythidaceae;;11,3;11,6;EST;NA;NA;2015;;
TLO_037a042;NA;848;LOURO PRETO;Fabaceae;;48,3;28,8;EST;NA;NA;2015;;
TLO_037a042;NA;849;BREU VERMELHO;Lecythidaceae;;15,5;14,5;EST;NA;NA;2015;;
TLO_037a042;NA;849I;ABURANA DE GUARIBA;NA;;10,6;11,1;EST;NA;NA;2015;;
TLO_037a042;NA;850;MUIRAPIRANGA FM;Annonaceae;;28,4;21,4;EST;NA;NA;2015;;
TLO_037a042;NA;850F;SERINGA;Burseraceae;;11,6;11,8;EST;NA;NA;2015;;
TLO_037a042;NA;851;TACHI;Moraceae;;47,8;28,6;EST;NA;NA;2015;;
TLO_037a042;NA;852;BREU VERMELHO;Lauraceae;;27,1;20,8;EST;NA;NA;2015;;
TLO_037a042;NA;853;ACARIQUARA BRANCA;Fabaceae;;19,0;16,6;EST;NA;NA;2015;;
TLO_037a042;NA;854;UCUUBA PUNA;Lecythidaceae;;13,1;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;855;BREU VERMELHO;Fabaceae;;18,6;16,4;EST;NA;NA;2015;;
TLO_037a042;NA;856;MUIRAJIBOIA JERIMUM;Fabaceae;;18,7;16,4;EST;NA;NA;2015;;
TLO_037a042;NA;856A;LOURO CHUMBO;NA;;13,7;13,3;EST;NA;NA;2015;;
TLO_037a042;NA;856F;TAQUARI;Lecythidaceae;;10,1;10,7;EST;NA;NA;2015;;
TLO_037a042;NA;857;TAQUARI VERMELHO;Fabaceae;;12,1;12,2;EST;NA;NA;2015;;
TLO_037a042;NA;858;JUTAI CICA;Cecropiaceae;;16,8;15,3;EST;NA;NA;2015;;
TLO_037a042;NA;859;ABIURANA OLHO DE VEADO;Lecythidaceae;;31,5;22,8;EST;NA;NA;2015;;
TLO_037a042;NA;859H;SORVAO;Lauraceae;;10,1;10,7;EST;NA;NA;2015;;
TLO_037a042;NA;860;BREU;Myristicaceae;;12,6;12,5;EST;NA;NA;2015;;
TLO_037a042;NA;861;LEITEIRA;Moraceae;;21,2;17,8;EST;NA;NA;2015;;
TLO_037a042;NA;862;URUCURANA;Lecythidaceae;;14,1;13,6;EST;NA;NA;2015;;
TLO_037a042;NA;863;URUCURANA;Fabaceae;;34,4;24,0;EST;NA;NA;2015;;
TLO_037a042;NA;864;MUIRAPIRANGA FM;Meliaceae;;25,8;20,2;EST;NA;NA;2015;;
TLO_037a042;NA;865;INGA VERMELHA;Chrysobalanaceae;;30,3;22,3;EST;NA;NA;2015;;
TLO_037a042;NA;866;BREU BRANCO;Lecythidaceae;;13,4;13,1;EST;NA;NA;2015;;
TLO_037a042;NA;866F;BREU VERMELHO;Burseraceae;;10,4;10,9;EST;NA;NA;2015;;
TLO_037a042;NA;867;MUIRAPIRANGA FM;Chrysobalanaceae;;40,2;26,1;EST;NA;NA;2015;;
TLO_037a042;NA;868;ABIURANA OLHO DE VEADO;Lecythidaceae;;22,4;18,5;EST;NA;NA;2015;;
TLO_037a042;NA;869;MUIRAJIBOIA AMARELA;NA;;42,3;26,9;EST;NA;NA;2015;;
TLO_037a042;NA;870;BREU VERMELHO;Fabaceae;;14,9;14,1;EST;NA;NA;2015;;
TLO_037a042;NA;871;MACUCU FOFO;Myristicaceae;;13,6;13,2;EST;NA;NA;2015;;
TLO_037a042;NA;872;MACUCU CHIADOR;Lecythidaceae;;26,4;20,5;EST;NA;NA;2015;;
TLO_037a042;NA;873;ABIURANA OLHO DE VEADO;Fabaceae;;32,0;23,0;EST;NA;NA;2015;;
TLO_037a042;NA;874;MUIRAJIBOIA JERIMUM;Lauraceae;;32,8;23,3;EST;NA;NA;2015;;
TLO_037a042;NA;875;BREU VERMELHO;Lecythidaceae;;11,2;11,5;EST;NA;NA;2015;;
TLO_037a042;NA;876;MATAMATA AMARELO;Sapotaceae;;35,4;24,4;EST;NA;NA;2015;;
TLO_037a042;NA;876 H;TACHI VERMELHO;Apocynaceae;;12,3;12,3;EST;NA;NA;2015;;
TLO_037a042;NA;877;FALSA RAINHA;Myristicaceae;;13,0;12,8;EST;NA;NA;2015;;
TLO_037a042;NA;878;FALSA RAINHA;Lecythidaceae;;16,7;15,2;EST;NA;NA;2015;;
TLO_037a042;NA;879;PAJURAZINHO;NA;;21,2;17,8;EST;NA;NA;2015;;
TLO_037a042;NA;880;GITO VERMELHO;Meliaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;881;MUIRAPIRANGA FM;Chrysobalanaceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;882;MUIRAPIRANGA FM;Chrysobalanaceae;;16,5;15,1;EST;NA;NA;2015;;
TLO_037a042;NA;883;MUIRAPIRANGA FM;Burseraceae;;26,0;20,3;EST;NA;NA;2015;;
TLO_037a042;NA;884;MUIRAJIBOIA AMARELA;Chrysobalanaceae;;14,3;13,7;EST;NA;NA;2015;;
TLO_037a042;NA;885;CARDEIRO;Lecythidaceae;;42,9;27,1;EST;NA;NA;2015;;
TLO_037a042;NA;885C;MUCURAO;Vochysiaceae;;11,0;11,4;EST;NA;NA;2015;;
TLO_037a042;NA;886;LOURO AMARELO;Lauraceae;;NA;NA;EST;M;NA;2015;;
TLO_037a042;NA;887;RIPEIRO VERMELHO;Combretaceae;;24,1;19,4;EST;NA;NA;2015;;
TLO_037a042;NA;888;LOURO PRETO;Lecythidaceae;;16,1;14,9;EST;NA;NA;2015;;
TLO_037a042;NA;889;TAQUARI VERMELHO;Moraceae;;11,9;12,0;EST;NA;NA;2015;;
TLO_037a042;NA;890;UCUQUIRANA BRAVA;Burseraceae;;47,8;28,6;EST;NA;NA;2015;;
TLO_037a042;NA;891;CARAPANAUBA;Moraceae;;46,2;28,1;EST;NA;NA;2015;;
TLO_037a042;NA;892;BREU VERMELHO;Quiinaceae;;20,4;17,4;EST;NA;NA;2015;;
TLO_037a042;NA;893;MUIRAPIRANGA FG;NA;;30,9;22,5;EST;NA;NA;2015;;
TLO_037a042;NA;894;ABIURANA;NA;;18,8;16,5;EST;NA;NA;2015;;
TLO_037a042;NA;894A;CACAUI;Elaeocarpaceae;;10,7;11,2;EST;NA;NA;2015;;
TLO_037a042;NA;894F;PAU RAINHA;Sapotaceae;;10,5;11,0;EST;NA;NA;2015;;
TLO_037a042;NA;895;ABIURANA;Lecythidaceae;;44,3;27,5;EST;NA;NA;2015;;
TLO_037a042;NA;895I;UCUQUINARA;NA;;10,3;10,9;EST;NA;NA;2015;;
TLO_037a042;NA;896;PAJURAZINHO;Siparunaceae;;30,6;22,4;EST;NA;NA;2015;;
TLO_037a042;NA;897;MUIRAPIRANGA FM;Ochnaceae;;22,2;18,4;EST;NA;NA;2015;;
TLO_037a042;NA;898;ARABA ROXO;Lecythidaceae;;13,1;12,9;EST;NA;NA;2015;;
TLO_037a042;NA;899;MUIRAPIRANGA FM;Chrysobalanaceae;;17,2;15,5;EST;NA;NA;2015;;
TLO_037a042;NA;900;MUIRAPIRANGA FM;Sapotaceae;;28,0;21,2;EST;NA;NA;2015;;
TLO_037a042;NA;901;PAU RAINHA;Humiriaceae;;30,7;22,4;EST;NA;NA;2015;;
TLO_037a042;NA;902;MUIRAPIRANGA FM;Lecythidaceae;;24,9;19,8;EST;NA;NA;2015;;
TLO_037a042;NA;903;MUIRAJIBOIA AMARELA;Chrysobalanaceae;;22,5;18,5;EST;NA;NA;2015;;
TLO_037a042;NA;904;INGA FERRO;Quiinaceae;;17,7;15,8;EST;NA;NA;2015;;
TLO_037a042;NA;905;MUIRAPIRANGA FM;Chrysobalanaceae;;16,7;15,2;EST;NA;NA;2015;;
TLO_037a042;NA;906;SERINGARANA;Violaceae;;11,8;12,0;EST;NA;NA;2015;;
TLO_037a042;NA;907;INGA FERRO;Burseraceae;;20,0;17,2;EST;NA;NA;2015;;
TLO_037a042;NA;908;BREU VERMELHO;Euphorbiaceae;;12,2;12,2;EST;NA;NA;2015;;
TLO_037a042;NA;909;NA;Moraceae;;12,3;12,3;EST;NA;NA;2015;;
TLO_037a042;NA;910;SUCUPIRA CHORONA;Sapotaceae;;13,8;13,4;EST;NA;NA;2015;;
TLO_037a042;NA;911;MUIRAJIBOIA JERIMUM;Burseraceae;;23,9;19,2;EST;NA;NA;2015;;
TLO_037a042;NA;912;BREU MANGA;Lauraceae;;12,7;12,6;EST;NA;NA;2015;;
TLO_037a042;NA;913;MUIRAJIBOIA JERIMUM;Fabaceae;;20,1;17,2;EST;NA;NA;2015;;
TLO_037a042;NA;914;ARABA ROXO;Sapotaceae;;27,6;21,0;EST;NA;NA;2015;;
