common_name;species;genus;family
UCUUBA  ;Myristicaceae spp ;Myristicaceae ;Myristicaceae
ENVIRA FOFA;Guatteria citriodora;Guatteria ;Annonaceae
ENVIRA SURUCUCU;Bocageopsis multiflora;Bocageopsis ;Annonaceae
ABIURANA CUTITE;Pouteria spp ;Pouteria ;Sapotaceae
UCHIRANA;Humiriaceae spp ;Humiriaceae ;Humiriaceae
UCUUBA VERMELHA;Virola spp ;Virola ;Myristicaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
PIAOZINHO;Micrandropsis scleroxylon;Micrandropsis ;Euphorbiaceae
URUCURANA;Dendrobangia boliviana;Dendrobangia ;Cardiopteridaceae
RIPEIRO VERMELHO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
UCUUBA PUNA;Iryanthera spp ;Iryanthera ;Myristicaceae
BREU VERMELHO;Swartzia tomentifera;Swartzia ;Fabaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
PAPO DE MUTUM;Quiina amazonica;Quiina ;Quiinaceae
MUIRAJIBOIA;Myrcia subsericea;Myrcia ;Myrtaceae
LOURO BRANCO;Ocotea cujumary;Ocotea ;Lauraceae
BRANQUINHA;Leonia glycycarpa;Leonia ;Violaceae
FALSO ANGELIM;Stryphnodendron pulcherrimum;Stryphnodendron ;Fabaceae
ENVIRA FEDORENTA;Duguetia surinamensis;Duguetia ;Annonaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
TACHI PRETO;Tachigali cf paraensis;Tachigali ;Fabaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
TANIMBUCA;Buchenavia viridiflora;Buchenavia ;Combretaceae
UCUUBA VERMELHA;Virola spp ;Virola ;Myristicaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
JITO VERMELHO;Guarea convergens;Guarea ;Meliaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
BUCHUCHU CANELA DE VELHO;Miconia gratissima;Miconia ;Melastomataceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
LOURO BRANCO;Ocotea percurrens;Ocotea ;Lauraceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
PAU TANINO;Maquira sclerophylla;Maquira ;Moraceae
PAJURAZINHO;Hirtella obidensis;Hirtella ;Chrysobalanaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium strumosum;Protium ;Burseraceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
ABIURANA CUTITE FL;Pouteria venosa;Pouteria ;Sapotaceae
MUIRATINGA;Sorocea guilleminiana;Sorocea ;Moraceae
UCUUBA PUNA;Iryanthera coriacea;Iryanthera ;Myristicaceae
PAJURAZINHO;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
MAUEIRA;Erisma bicolor;Erisma ;Vochysiaceae
MURICI DA MATA;Byrsonima duckeana;Byrsonima ;Malpighiaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
BRANQUINHA;Rinorea racemosa;Rinorea ;Violaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
ABIURANA OLHO DE VEADO;Pouteria anomala;Pouteria ;Sapotaceae
CASTANHA JARANA FG;Lecythis prancei;Lecythis ;Lecythidaceae
PIAOZINHO;Pourouma guianensis;Pourouma ;Urticaceae
PIQUIA MARFIM ROXO;Aspidosperma desmanthum;Aspidosperma ;Apocynaceae
UCHIRANA;Sacoglottis guianensis;Sacoglottis ;Humiriaceae
RIPEIRO VERMELHO;Gustavia elliptica;Gustavia ;Lecythidaceae
JUTAI MIRIM;Dialium guianense;Dialium ;Fabaceae
JURAICICA;Macrolobium microcalyx;Macrolobium ;Fabaceae
PEPINO DA MATA;Ambelania acida;Ambelania ;Apocynaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
ENVIRA FOFA;Guatteria spp ;Guatteria ;Annonaceae
UCUUBA VERMELHA;Virola spp ;Virola ;Myristicaceae
URUCUM BRAVO;Conceveiba guianensis;Conceveiba ;Euphorbiaceae
RIPEIRO VERMELHO;Eschweilera cyathiformis;Eschweilera ;Lecythidaceae
RABO DE ARARA;Connarus perrottetii;Connarus ;Connaraceae
TANIMBUCA CINZEIRO;Buchenavia parvifolia;Buchenavia ;Combretaceae
BUCHUCHU CANELA DE VELHO;Miconia dicrophylla;Miconia ;Melastomataceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
UCUUBA PRETA;Virola cf elongata;Virola ;Myristicaceae
TINTEIRO;Miconia minutiflora;Miconia ;Melastomataceae
MUIRAXIMBE;Rubiaceae spp ;Rubiaceae ;Rubiaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
ABIURANA FEDORENTA;Pouteria retinervis;Pouteria ;Sapotaceae
PAJURAZINHO;Licania micrantha;Licania ;Chrysobalanaceae
MATA MATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
ENVIRA FOFA;Guatteria discolor;Guatteria ;Annonaceae
EMBAUBARANA;Pourouma spp ;Pourouma ;Urticaceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
SERINGARANA;Dacryodes cuspidata;Dacryodes ;Burseraceae
CASTANHA JARANA FG;Lecythis prancei;Lecythis ;Lecythidaceae
BREU MANGA;Trattinnickia sp 2;Trattinnickia ;Burseraceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
BUCHUCHU;Miconia spp ;Miconia ;Melastomataceae
FAVEIRA AMARELA;Fabaceae spp ;Fabaceae ;Fabaceae
MANDIOQUEIRA CASCA PRET;Ruizterania albiflora;Ruizterania ;Vochysiaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
INGA VERMELHA;Inga pezizifera;Inga ;Fabaceae
URUCURANA;Sloanea laurifolia;Sloanea ;Elaeocarpaceae
CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
URUCURANA CACAU;Lueheopsis rosea;Lueheopsis ;Malvaceae
BREU VERMELHO;Protium nitidifolium;Protium ;Burseraceae
ENVIRA SURUCUCU;Bocageopsis multiflora;Bocageopsis ;Annonaceae
JOAO MOLE;Neea cf verticillata;Neea ;Nyctaginaceae
PEPINO DA MATA;Ambelania acida;Ambelania ;Apocynaceae
MATAMATA AMARELO;Protium strumosum;Protium ;Burseraceae
ABIURANA FEDORENTA;Pouteria spp ;Pouteria ;Sapotaceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
INGA VERMELHA;Inga splendens;Inga ;Fabaceae
LOURO FALSO ARITU;Lauraceae spp ;Lauraceae ;Lauraceae
URUCUM BRAVO;Croton urucurana;Croton ;Euphorbiaceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MUIRAXIMBE;Pterandra arborea;Pterandra ;Malpighiaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
LOURO FALSO ARITU;Licaria crassifolia;Licaria ;Lauraceae
BUCHUCHU C. DE VELHO;Miconia dicrophylla;Miconia ;Melastomataceae
ABIURANA OLHO DE VEADO;Pouteria spp ;Pouteria ;Sapotaceae
EMBAUBA BRANCA;Cecropia distachya;Cecropia ;Urticaceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
MURICI DA MATA;Byrsonima duckeana;Byrsonima ;Malpighiaceae
INGA BRANCA;Euphorbiaceae spp ;Euphorbiaceae ;Euphorbiaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
UCUUBA PRETA;Virola venosa;Virola ;Myristicaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
MUIRAJIBOIA AMARELA;Swartzia recurva;Swartzia ;Fabaceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
BREU PITOMBA;Protium spp ;Protium ;Burseraceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
UCUUBA PUNA;Iryanthera spp ;Iryanthera ;Myristicaceae
BREU VERMELHO;Protium tenuifolium;Protium ;Burseraceae
INGA BRANCA;Inga paraensis;Inga ;Fabaceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
INGA VERMELHA;Inga cf leiocalycina;Inga ;Fabaceae
FREIJO;Cordia sagotii;Cordia ;Boraginaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
LOURO PRETO;Licaria chrysophylla;Licaria ;Lauraceae
CARAPANAUBA;Aspidosperma carapanauba;Aspidosperma ;Apocynaceae
BREU VERMELHO;Protium strumosum;Protium ;Burseraceae
URUCURANA;Rhodothyrsus macrophyllus;Rhodothyrsus ;Euphorbiaceae
PAPO DE MUTUM;Quiina amazonica;Quiina ;Quiinaceae
GOIABINHA;Bellucia grossularioides;Bellucia ;Melastomataceae
BUCHUCHU;Miconia rubiginosa;Miconia ;Melastomataceae
UCHIRANA;Sacoglottis mattogrossensis;Sacoglottis ;Humiriaceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
LACRE BRANCO;Cecropia sciadophylla;Cecropia ;Urticaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
PITOMBA;Sapindaceae spp ;Sapindaceae ;Sapindaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
FREIJO BRANCO;Cordia cf trachyphylla;Cordia ;Boraginaceae
RIPEIRO VERMELHO;Eschweilera spp ;Eschweilera ;Lecythidaceae
TAQUARI;Mabea angularis;Mabea ;Euphorbiaceae
BUCHUCHU ORELHA DE BURRO;Miconia spp ;Miconia ;Melastomataceae
URUCUM BRAVO;Croton urucurana;Croton ;Euphorbiaceae
EMBAUBA ROXA;Cecropia purpurascens;Cecropia ;Urticaceae
ABIURANA ABIU;Pouteria reticulata;Pouteria ;Sapotaceae
INGA BRANCA;Inga pezizifera;Inga ;Fabaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
EMBAUBA BENGUE;Pourouma velutina;Pourouma ;Urticaceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
EMBAUBARANA;Pourouma velutina;Pourouma ;Urticaceae
ABIURANA ABIU;Mabea angularis;Mabea ;Euphorbiaceae
ENVIRA PRETA;Annonaceae spp ;Annonaceae ;Annonaceae
INGARANA;Fabaceae spp ;Fabaceae ;Fabaceae
CASTANHA SAPUCAIA;Lecythis spp ;Lecythis ;Lecythidaceae
EMBAUBA BENGUE;Pourouma spp ;Pourouma ;Urticaceae
TAQUARI;Mabea angularis;Mabea ;Euphorbiaceae
TAQUARI;Mabea spp ;Mabea ;Euphorbiaceae
BREU PITOMBA;Protium tenuifolium;Protium ;Burseraceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
ARACA BRAVO;Myrtaceae spp ;Myrtaceae ;Myrtaceae
TENTO VERMELHO;Ormosia spp ;Ormosia ;Fabaceae
INHARE;Moraceae spp ;Moraceae ;Moraceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
BREU PITOMBA;Protium gallosum;Protium ;Burseraceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
CAJUI;Anacardium spruceanum;Anacardium ;Anacardiaceae
UCUUBA PRETA;Virola spp ;Virola ;Myristicaceae
AMEIXA DA MATA;Roucheria columbiana;Roucheria ;Linaceae
PAU POMBO;Tapirira guianensis;Tapirira ;Anacardiaceae
GUARIUBA;Brosimum utile;Brosimum ;Moraceae
FAVA CAMUZE;Stryphnodendron spp ;Stryphnodendron ;Fabaceae
ENVIRA PRETA;Unonopsis duckei;Unonopsis ;Annonaceae
LOURO PRETO;Ocotea cujumary;Ocotea ;Lauraceae
CAFE BRAVO;Siparuna decipiens;Siparuna ;Siparunaceae
URUCUM BRAVO;Croton urucurana;Croton ;Euphorbiaceae
PIQUIA MARFIM;Aspidosperma spp ;Aspidosperma ;Apocynaceae
CUPIUBA;Goupia glabra;Goupia ;Goupiaceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
INGA COPAIBA;Dendrobangia boliviana;Dendrobangia ;Cardiopteridaceae
CARAIPERANA;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
MUIRATINGA;Chrysophyllum pomiferum;Chrysophyllum ;Sapotaceae
TACHI PRETO;Tachigali cf glauca;Tachigali ;Fabaceae
ARACA BRAVO;Myrtaceae sp 1;Myrtaceae ;Myrtaceae
INGARANA;Fabaceae spp ;Fabaceae ;Fabaceae
JOAO MOLE;Nyctaginaceae sp 1;Nyctaginaceae ;Nyctaginaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
PAPO DE MUTUM;Quiina amazonica;Quiina ;Quiinaceae
ABIURANA OLHO DE VEADO;Pouteria anomala;Pouteria ;Sapotaceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
FAVA BOLACHA;Elizabetha durissima;Elizabetha ;Fabaceae
UCUUBA PUNA;Iryanthera spp ;Iryanthera ;Myristicaceae
CASTANHA JARANA FG;Lecythis prancei;Lecythis ;Lecythidaceae
ENVIRA FOFA;Guatteria spp ;Guatteria ;Annonaceae
BUCHUCHU;Miconia spp ;Miconia ;Melastomataceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
BREU VERMELHO;Protium spp ;Protium ;Burseraceae
UCUUBA PUNA;Iryanthera elliptica;Iryanthera ;Myristicaceae
INGA VERMELHA;Inga splendens;Inga ;Fabaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
RIPEIRO VERMELHO;Corythophora alta;Corythophora ;Lecythidaceae
TACHI VERMELHO;Tachigali cf paraensis;Tachigali ;Fabaceae
FALSO ANGELIM;Abarema jupunba;Abarema ;Fabaceae
UCUUBA VERMELHA;Virola spp ;Virola ;Myristicaceae
INGA VERMELHA;Inga splendens;Inga ;Fabaceae
LOURO BRANCO;Lauraceae spp ;Lauraceae ;Lauraceae
INGA VERMELHA;Inga rubiginosa;Inga ;Fabaceae
TAUARI;Couratari stellata;Couratari ;Lecythidaceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
TACHI VERMELHO;Tachigali spp ;Tachigali ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
CAFE BRAVO;Coussarea ampla;Coussarea ;Rubiaceae
URUCURANA;Sloanea guianensis;Sloanea ;Elaeocarpaceae
SERINGARANA;Dacryodes cuspidata;Dacryodes ;Burseraceae
TACHI VERMELHO;Tachigali cf paraensis;Tachigali ;Fabaceae
UCUUBA VERMELHA;Virola sebifera;Virola ;Myristicaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
ENVIRA PRETA;Ephedranthus amazonicus;Ephedranthus ;Annonaceae
TAPURA;Tapura amazonica;Tapura ;Dichapetalaceae
INHARE;Pseudolmedia laevis;Pseudolmedia ;Moraceae
PAU TANINO;Maquira sclerophylla;Maquira ;Moraceae
MUIRAJIBOIA JERIMUM;Swartzia tomentifera;Swartzia ;Fabaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
UCUUBA VERMELHA;Virola calophylla;Virola ;Myristicaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
EMBAUBARANA;Pourouma tomentosa;Pourouma ;Urticaceae
CHICLETE BRAVO;Micropholis spp ;Micropholis ;Sapotaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MUIRATINGA;Sorocea guilleminiana;Sorocea ;Moraceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MUIRAJIBOIA PRETA;Bocoa viridiflora;Bocoa ;Fabaceae
PUPUNHARANA;Duckeodendron cestroides;Duckeodendron ;Solanaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
LOURO BRANCO;Ocotea percurrens;Ocotea ;Lauraceae
EMBAUBA BENGUE;Pourouma guianensis;Pourouma ;Urticaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
UCUUBA PRETA;Virola spp ;Virola ;Myristicaceae
BREU VERMELHO;Protium hebetatum;Protium ;Burseraceae
MUNGUBA;Eriotheca globosa;Eriotheca ;Malvaceae
CASTANHA JARANA FM;Lecythidaceae sp ;Lecythidaceae ;Lecythidaceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
INGA COPAIBA;Zygia ramiflora;Zygia ;Fabaceae
SAPATEIRO;Tovomita caloneura;Tovomita ;Clusiaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
CARDEIRO;Scleronema micranthum;Scleronema ;Malvaceae
BUCHUCHU;Miconia dicrophylla;Miconia ;Melastomataceae
RABO DE ARARA;Connarus perrottetii;Connarus ;Connaraceae
BUCHUCHU;Miconia spp ;Miconia ;Melastomataceae
MATAMATA AMARELO;Eschweilera coriacea;Eschweilera ;Lecythidaceae
MANDIOQUEIRA CASCA PRET;Ruizterania albiflora;Ruizterania ;Vochysiaceae
LOURO PIRARUCU;Licaria crassifolia;Licaria ;Lauraceae
FALSA RAINHA;Pourouma guianensis;Pourouma ;Urticaceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
BUCHUCHU CANELA DE VELHO;Miconia spp ;Miconia ;Melastomataceae
UCUUBA PRETA;Virola guggenheimii;Virola ;Myristicaceae
PAU RAINHA;Brosimum rubescens;Brosimum ;Moraceae
LOURO ARITU;Licaria guianensis;Licaria ;Lauraceae
LOURO FOFO;Ocotea cujumary;Ocotea ;Lauraceae
ARABA VERMELHO;Swartzia polyphylla;Swartzia ;Fabaceae
PAJURA;Licania laevigata;Licania ;Chrysobalanaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
EMBAUBA BENGUE;Pourouma villosa;Pourouma ;Urticaceae
EMBAUBARANA;Pourouma bicolor;Pourouma ;Urticaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
PIQUIA MARFIM ROXO;Aspidosperma desmanthum;Aspidosperma ;Apocynaceae
ABIURANA VERMELHA;Pouteria erythrochrysa;Pouteria ;Sapotaceae
TACHI PRETO;Tachigali spp ;Tachigali ;Fabaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
ABIURANA BRANCA;Micropholis venulosa;Micropholis ;Sapotaceae
BREU VERMELHO;Protium apiculatum;Protium ;Burseraceae
CASTANHA VERMELHA;Eschweilera atropetiolata;Eschweilera ;Lecythidaceae
RIPEIRO VERMELHO;Eschweilera pseudodecolorans;Eschweilera ;Lecythidaceae
LOURO PIRARUCU;Licaria crassifolia;Licaria ;Lauraceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
INGA VERMELHA;Inga paraensis;Inga ;Fabaceae
RIPEIRO VERMELHO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
RIPEIRO VERMELHO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
TAPURA;Tapura amazonica;Tapura ;Dichapetalaceae
INGA BRANCA;Inga spp ;Inga ;Fabaceae
ENVIRA PRETA;Unonopsis duckei;Unonopsis ;Annonaceae
MATAMATA AMARELO;Eschweilera truncata;Eschweilera ;Lecythidaceae
ENVIRA SURUCUCU;Bocageopsis multiflora;Bocageopsis ;Annonaceae
EMBAUBARANA;Pourouma tomentosa;Pourouma ;Urticaceae
MATAMATA AMARELO;Eschweilera spp ;Eschweilera ;Lecythidaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
FAVEIRA FOLHA FINA;Pseudopiptadenia cf suaveolens;Pseudopiptadenia ;Fabaceae
CAROBA;Jacaranda copaia;Jacaranda ;Bignoniaceae
EMBAUBARANA;Pourouma tomentosa;Pourouma ;Urticaceae
JUTAICICA;Pterocarpus officinalis;Pterocarpus ;Fabaceae
ACARIQUARA ROXA;Minquartia guianensis;Minquartia ;Olacaceae
GOIABINHA;Myrcia rufipila;Myrcia ;Myrtaceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
PIQUIA MARFIM;Aspidosperma spp ;Aspidosperma ;Apocynaceae
BUCHUCHU CANELA DE VELHO;Miconia dicrophylla;Miconia ;Melastomataceae
AZEITONA DA MATA;Myrcia subsericea;Myrcia ;Myrtaceae
INGA BRANCA;Inga rubiginosa;Inga ;Fabaceae
MATAMATA AMARELO;Eschweilera wachenheimii;Eschweilera ;Lecythidaceae
MUIRAJIBOIA AMARELA;Swartzia recurva;Swartzia ;Fabaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
ACARIQUARA BRANCA;Geissospermum argenteum;Geissospermum ;Apocynaceae
CARAIPE;Licania sandwithii;Licania ;Chrysobalanaceae
PIMENTA DE NAMBU;Lacistema spp ;Lacistema ;Lacistemataceae
LOURO PRETO;Ocotea floribunda;Ocotea ;Lauraceae
CAFE BRAVO;Kutchubaea insignis;Kutchubaea ;Rubiaceae
ENVIRA PRETA;Fusaea longifolia;Fusaea ;Annonaceae
BUCHUCHU;Miconia dicrophylla;Miconia ;Melastomataceae
INGA FERRO;Swartzia ingifolia;Swartzia ;Fabaceae
ARABA ROXO;Swartzia reticulata;Swartzia ;Fabaceae
LOURO PRETO;Lauraceae spp ;Lauraceae ;Lauraceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
MURICI DA MATA;Byrsonima duckeana;Byrsonima ;Malpighiaceae
MURICI  ;Byrsonima duckeana;Byrsonima ;Malpighiaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
ACHICHA;Sterculia spp ;Sterculia ;Malvaceae
JARAI;Pouteria spp ;Pouteria ;Sapotaceae
PAPO DE MUTUM;Quiinaceae spp ;Quiinaceae ;Quiinaceae
LOURO PIRARUCU;Licaria crassifolia;Licaria ;Lauraceae
EMBAUBARANA;Pourouma bicolor;Pourouma ;Urticaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
JATOBA;Macrolobium cf angustifolium;Macrolobium ;Fabaceae
MURICI DA MATA;Byrsonima duckeana;Byrsonima ;Malpighiaceae
EMBAUBARANA;Pourouma tomentosa;Pourouma ;Urticaceae
INGA VERMELHA;Inga alba;Inga ;Fabaceae
ARACA BRAVO;Myrcia paivae;Myrcia ;Myrtaceae
LOURO PIRARUCU;Licaria crassifolia;Licaria ;Lauraceae
INGA VERMELHA;Indeterminado;#VALOR!;Indeterminado 
LACRE BRANCO;Vismia cayennensis;Vismia ;Hypericaceae
EMBAUBA GIGANTE;Cecropia sciadophylla;Cecropia ;Urticaceae
BUCHUCHU CANELA DE VELHO;Miconia phanerostila;Miconia ;Melastomataceae
MUIRAJIBOIA BRANCA;Swartzia spp ;Swartzia ;Fabaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
INGA VERMELHA;Inga spp ;Inga ;Fabaceae
ABIURANA ABIU;Pouteria guianensis;Pouteria ;Sapotaceae
TINTEIRA;Miconia minutiflora;Miconia ;Melastomataceae
DIMA;Croton matourensis;Croton ;Euphorbiaceae
PAPO DE MUTUM;Quiinaceae spp ;Quiinaceae ;Quiinaceae
JUTAICICA;Pterocarpus spp ;Pterocarpus ;Fabaceae
GOIABA DE ANTA;Bellucia grossularioides;Bellucia ;Melastomataceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
ABIURANA BRANCA;Sapotaceae spp ;Sapotaceae ;Sapotaceae
UCUQUIRANA VERDADEIRA;Chrysophyllum spp ;Chrysophyllum ;Sapotaceae
GOIABA DE ANTA BR;Bellucia grossularioides;Bellucia ;Melastomataceae
TAUARI;Lecythidaceae spp ;Lecythidaceae ;Lecythidaceae
RIPEIRO BRANCO;Eschweilera spp ;Eschweilera ;Lecythidaceae
LOURO BRANCO;Lauraceae spp ;Lauraceae ;Lauraceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
ENVIRA AMARELA;Duguetia surinamensis;Duguetia ;Annonaceae
BREU BRANCO;Protium pallidum;Protium ;Burseraceae
JUTAICICA;Pterocarpus officinalis;Pterocarpus ;Fabaceae
RIPEIRO VERMELHO;Eschweilera bracteosa;Eschweilera ;Lecythidaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
LACRE BRANCO;Vismia cayennensis;Vismia ;Hypericaceae
GOIABA DE ANTA;Myristicaceae spp ;Myristicaceae ;Myristicaceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
CASTANHA JACARE;Corythophora rimosa;Corythophora ;Lecythidaceae
LACRE VERMELHO;Vismia spp ;Vismia ;Hypericaceae
CARAIPERANA;Chrysobalanaceae spp ;Chrysobalanaceae ;Chrysobalanaceae
GOIABA DE ANTA;Bellucia grossularioides;Bellucia ;Melastomataceae
FALSA CUPIUBA;Rinorea paniculata;Rinorea ;Violaceae
